"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 07 23:46:20 PST 2022","Mon Mar 07 23:46:20 PST 2022","28","","Catwatch.CatwatchTest_1646720771831","","Catwatch.CatwatchTest_1646720771831","test_r1a3eg4suiqr_SETOPERATIONID","test_r1a3eg4suiqr_SETOPERATIONID",""
"failed","Mon Mar 07 23:46:32 PST 2022","Mon Mar 07 23:46:32 PST 2022","35","","Catwatch.CatwatchTest_1646720771831","","Catwatch.CatwatchTest_1646720771831","test_vbk5ni7cd1rm_SETOPERATIONID","test_vbk5ni7cd1rm_SETOPERATIONID",""
"failed","Mon Mar 07 21:25:45 PST 2022","Mon Mar 07 21:25:45 PST 2022","73","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_1h7zt6b9xkdb8_SETOPERATIONID","test_1h7zt6b9xkdb8_SETOPERATIONID",""
"passed","Mon Mar 07 21:26:02 PST 2022","Mon Mar 07 21:26:02 PST 2022","40","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_u87w5divmvqs_SETOPERATIONID","test_u87w5divmvqs_SETOPERATIONID",""
"failed","Mon Mar 07 23:46:15 PST 2022","Mon Mar 07 23:46:15 PST 2022","33","","Catwatch.CatwatchTest_1646720771831","","Catwatch.CatwatchTest_1646720771831","test_1jics00hcqcth_SETOPERATIONID","test_1jics00hcqcth_SETOPERATIONID",""
"failed","Mon Mar 07 23:46:15 PST 2022","Mon Mar 07 23:46:15 PST 2022","34","","Catwatch.CatwatchTest_1646720771831","","Catwatch.CatwatchTest_1646720771831","test_1jecq2ggb7rqp_SETOPERATIONID","test_1jecq2ggb7rqp_SETOPERATIONID",""
"failed","Mon Mar 07 21:26:00 PST 2022","Mon Mar 07 21:26:00 PST 2022","34","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_t4f2no3fq4x2_SETOPERATIONID","test_t4f2no3fq4x2_SETOPERATIONID",""
"passed","Mon Mar 07 23:46:21 PST 2022","Mon Mar 07 23:46:21 PST 2022","34","","Catwatch.CatwatchTest_1646720771831","","Catwatch.CatwatchTest_1646720771831","test_rlb559sdojec_SETOPERATIONID","test_rlb559sdojec_SETOPERATIONID",""
"failed","Mon Mar 07 21:26:04 PST 2022","Mon Mar 07 21:26:04 PST 2022","123","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_us3hedjivqd2_SETOPERATIONID","test_us3hedjivqd2_SETOPERATIONID",""
"failed","Mon Mar 07 21:25:55 PST 2022","Mon Mar 07 21:25:55 PST 2022","35","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_qxqlroudkh29_SETOPERATIONID","test_qxqlroudkh29_SETOPERATIONID",""
"failed","Mon Mar 07 21:25:56 PST 2022","Mon Mar 07 21:25:56 PST 2022","268","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_r17ch3o8r7ea_SETOPERATIONID","test_r17ch3o8r7ea_SETOPERATIONID",""
"failed","Mon Mar 07 21:25:56 PST 2022","Mon Mar 07 21:25:56 PST 2022","61","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_qxw63mafpmxw_SETOPERATIONID","test_qxw63mafpmxw_SETOPERATIONID",""
"failed","Mon Mar 07 21:25:50 PST 2022","Mon Mar 07 21:25:50 PST 2022","279","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_1iyfgs3t3kfnd_SETOPERATIONID","test_1iyfgs3t3kfnd_SETOPERATIONID",""
"failed","Mon Mar 07 21:25:50 PST 2022","Mon Mar 07 21:25:50 PST 2022","44","","Catwatch.CatwatchTest_1646717137412","","Catwatch.CatwatchTest_1646717137412","test_1iv9auuh4ew4w_SETOPERATIONID","test_1iv9auuh4ew4w_SETOPERATIONID",""
"passed","Mon Mar 07 23:46:32 PST 2022","Mon Mar 07 23:46:32 PST 2022","27","","Catwatch.CatwatchTest_1646720771831","","Catwatch.CatwatchTest_1646720771831","test_vf1f2i85ty79_SETOPERATIONID","test_vf1f2i85ty79_SETOPERATIONID",""
