"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Mar 06 23:05:34 PST 2022","Sun Mar 06 23:05:34 PST 2022","165","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_1hrawpoxbr8z4_GetAlbums","test_1hrawpoxbr8z4_GetAlbums",""
"failed","Sun Mar 06 23:05:41 PST 2022","Sun Mar 06 23:05:41 PST 2022","99","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_qxtebijpgc3a_GetAlbums","test_qxtebijpgc3a_GetAlbums",""
"failed","Sun Mar 06 23:05:45 PST 2022","Sun Mar 06 23:05:46 PST 2022","204","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_soekdius322f_GetAlbums","test_soekdius322f_GetAlbums",""
"failed","Sun Mar 06 23:05:35 PST 2022","Sun Mar 06 23:05:35 PST 2022","171","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_1hv2ofe15p8vr_GetAlbums","test_1hv2ofe15p8vr_GetAlbums",""
"failed","Sun Mar 06 23:05:46 PST 2022","Sun Mar 06 23:05:47 PST 2022","124","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_t8cg97uzbmsy_GetAlbums","test_t8cg97uzbmsy_GetAlbums",""
"failed","Sun Mar 06 23:05:43 PST 2022","Sun Mar 06 23:05:43 PST 2022","314","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_rl2ccxi0sym0_GetAlbums","test_rl2ccxi0sym0_GetAlbums",""
"failed","Sun Mar 06 23:05:35 PST 2022","Sun Mar 06 23:05:36 PST 2022","105","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_1hv5hd58dej3k_GetAlbums","test_1hv5hd58dej3k_GetAlbums",""
"failed","Sun Mar 06 23:05:39 PST 2022","Sun Mar 06 23:05:39 PST 2022","93","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_1jeo9xb1on7lf_GetAlbums","test_1jeo9xb1on7lf_GetAlbums",""
"failed","Sun Mar 06 23:05:49 PST 2022","Sun Mar 06 23:05:49 PST 2022","164","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_vf475sfunrs6_GetAlbums","test_vf475sfunrs6_GetAlbums",""
"failed","Sun Mar 06 23:05:48 PST 2022","Sun Mar 06 23:05:48 PST 2022","322","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_u854auzolruc_GetAlbums","test_u854auzolruc_GetAlbums",""
"failed","Sun Mar 06 23:05:39 PST 2022","Sun Mar 06 23:05:39 PST 2022","160","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_1jecmjsb4ig53_GetAlbums","test_1jecmjsb4ig53_GetAlbums",""
"failed","Sun Mar 06 23:05:40 PST 2022","Sun Mar 06 23:05:40 PST 2022","130","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_1jy7p8qf5paup_GetAlbums","test_1jy7p8qf5paup_GetAlbums",""
"failed","Sun Mar 06 23:05:34 PST 2022","Sun Mar 06 23:05:34 PST 2022","180","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_1hbdpb3dq7twx_GetAlbums","test_1hbdpb3dq7twx_GetAlbums",""
"failed","Sun Mar 06 23:05:38 PST 2022","Sun Mar 06 23:05:38 PST 2022","440","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_1iuqfj63pvihu_GetAlbums","test_1iuqfj63pvihu_GetAlbums",""
"failed","Sun Mar 06 23:05:47 PST 2022","Sun Mar 06 23:05:47 PST 2022","151","","spotify_getAlbums.Spotify_getAlbums_1646636729798","","spotify_getAlbums.Spotify_getAlbums_1646636729798","test_trtkhrxmlhdg_GetAlbums","test_trtkhrxmlhdg_GetAlbums",""
